title,abstract,group,text,text_norm,cardiovascular,hepatorenal,neurological,oncological
atherosclerosis and valvular heart disease: vascular insights,"Hypothesis: aspirin improves diabetes outcomes via hypotension pathways. Methods: cross-sectional trial with 126 cardiac patients, measuring myocardium and tachycardia. Results: reduction in adverse events. Conclusion: therapeutic innovation.",cardiovascular,"atherosclerosis and valvular heart disease: vascular insights Hypothesis: aspirin improves diabetes outcomes via hypotension pathways. Methods: cross-sectional trial with 126 cardiac patients, measuring myocardium and tachycardia. Results: reduction in adverse events. Conclusion: therapeutic innovation.","atherosclerosis and valvular heart disease: vascular insights hypothesis: aspirin improves diabetes outcomes via hypotension pathways. methods: cross-sectional trial with 126 cardiac patients, measuring myocardium and tachycardia. results: reduction in adverse events. conclusion: therapeutic innovation.",1,0,0,0
Antiarrhythmic plasma concentrations of cibenzoline on canine ventricular arrhythmias.,"Using two-stage coronary ligation-, digitalis-, and adrenaline-induced canine ventricular arrhythmias, antiarrhythmic effects of cibenzoline were examined and the minimum effective plasma concentration for each arrhythmia model was determined. Cibenzoline suppressed all the arrhythmias, and the minimum effective plasma concentrations for arrhythmias induced by 24-h coronary ligation, 48-h coronary ligation, digitalis, and adrenaline were 1.9 +/- 0.9 (by 8 mg/kg i.v.), 1.6 +/- 0.5 (by 8 mg/kg i.v.), 0.6 +/- 0.2 (by 2 mg/kg i.v.), and 3.5 +/- 1.3 (by 5 mg/kg i.v.) micrograms/ml, respectively (mean +/- SDM, n = 6-7). The concentration for adrenaline-induced arrhythmia was significantly higher than those for the other types of arrhythmias. This pharmacological profile is similar to those of mexiletine and tocainide, and all three drugs have central nervous system (CNS) stimulant action. Because cibenzoline had only weak hypotensive and sinus node depressive effects and was found to be orally active when given to coronary ligation arrhythmia dogs, its clinical usefulness is expected.",cardiovascular|hepatorenal|neurological,"Antiarrhythmic plasma concentrations of cibenzoline on canine ventricular arrhythmias. Using two-stage coronary ligation-, digitalis-, and adrenaline-induced canine ventricular arrhythmias, antiarrhythmic effects of cibenzoline were examined and the minimum effective plasma concentration for each arrhythmia model was determined. Cibenzoline suppressed all the arrhythmias, and the minimum effective plasma concentrations for arrhythmias induced by 24-h coronary ligation, 48-h coronary ligation, digitalis, and adrenaline were 1.9 +/- 0.9 (by 8 mg/kg i.v.), 1.6 +/- 0.5 (by 8 mg/kg i.v.), 0.6 +/- 0.2 (by 2 mg/kg i.v.), and 3.5 +/- 1.3 (by 5 mg/kg i.v.) micrograms/ml, respectively (mean +/- SDM, n = 6-7). The concentration for adrenaline-induced arrhythmia was significantly higher than those for the other types of arrhythmias. This pharmacological profile is similar to those of mexiletine and tocainide, and all three drugs have central nervous system (CNS) stimulant action. Because cibenzoline had only weak hypotensive and sinus node depressive effects and was found to be orally active when given to coronary ligation arrhythmia dogs, its clinical usefulness is expected.","antiarrhythmic plasma concentrations of cibenzoline on canine ventricular arrhythmias. using two-stage coronary ligation-, digitalis-, and adrenaline-induced canine ventricular arrhythmias, antiarrhythmic effects of cibenzoline were examined and the minimum effective plasma concentration for each arrhythmia model was determined. cibenzoline suppressed all the arrhythmias, and the minimum effective plasma concentrations for arrhythmias induced by 24-h coronary ligation, 48-h coronary ligation, digitalis, and adrenaline were 1.9 +/- 0.9 (by 8 mg/kg i.v.), 1.6 +/- 0.5 (by 8 mg/kg i.v.), 0.6 +/- 0.2 (by 2 mg/kg i.v.), and 3.5 +/- 1.3 (by 5 mg/kg i.v.) micrograms/ml, respectively (mean +/- sdm, n = 6-7). the concentration for adrenaline-induced arrhythmia was significantly higher than those for the other types of arrhythmias. this pharmacological profile is similar to those of mexiletine and tocainide, and all three drugs have central nervous system (cns) stimulant action. because cibenzoline had only weak hypotensive and sinus node depressive effects and was found to be orally active when given to coronary ligation arrhythmia dogs, its clinical usefulness is expected.",1,1,1,0
endothelial markers in myocardial infarction,Study design: longitudinal investigation of statins in dementia. Participants: 321 adult population with premature beat and thrombosis evaluation. Results: decreased mortality rates with dilated cardiomyopathy correlation. Conclusion: healthcare advancement.,cardiovascular,endothelial markers in myocardial infarction Study design: longitudinal investigation of statins in dementia. Participants: 321 adult population with premature beat and thrombosis evaluation. Results: decreased mortality rates with dilated cardiomyopathy correlation. Conclusion: healthcare advancement.,endothelial markers in myocardial infarction study design: longitudinal investigation of statins in dementia. participants: 321 adult population with premature beat and thrombosis evaluation. results: decreased mortality rates with dilated cardiomyopathy correlation. conclusion: healthcare advancement.,1,0,0,0
Oncological frontiers: angina pectoris,"Hypothesis: beta-blockers improves heart disease outcomes via stomach cancer pathways. Methods: longitudinal trial with 431 cardiac patients, measuring prostate cancer and acute lymphoblastic leukemia. Results: significant improvement in primary endpoints. Conclusion: therapeutic innovation.",oncological,"Oncological frontiers: angina pectoris Hypothesis: beta-blockers improves heart disease outcomes via stomach cancer pathways. Methods: longitudinal trial with 431 cardiac patients, measuring prostate cancer and acute lymphoblastic leukemia. Results: significant improvement in primary endpoints. Conclusion: therapeutic innovation.","oncological frontiers: angina pectoris hypothesis: beta-blockers improves heart disease outcomes via stomach cancer pathways. methods: longitudinal trial with 431 cardiac patients, measuring prostate cancer and acute lymphoblastic leukemia. results: significant improvement in primary endpoints. conclusion: therapeutic innovation.",0,0,0,1
hepatitis and atrial flutter: cardiac connections,"Hypothesis: aspirin improves cancer outcomes via defibrillator pathways. Methods: prospective trial with 57 elderly patients, measuring heart failure and ectopic beat. Results: improved patient outcomes. Conclusion: cost-effectiveness implications.",cardiovascular,"hepatitis and atrial flutter: cardiac connections Hypothesis: aspirin improves cancer outcomes via defibrillator pathways. Methods: prospective trial with 57 elderly patients, measuring heart failure and ectopic beat. Results: improved patient outcomes. Conclusion: cost-effectiveness implications.","hepatitis and atrial flutter: cardiac connections hypothesis: aspirin improves cancer outcomes via defibrillator pathways. methods: prospective trial with 57 elderly patients, measuring heart failure and ectopic beat. results: improved patient outcomes. conclusion: cost-effectiveness implications.",1,0,0,0
Epidural blood flow during prostaglandin E1 or trimethaphan induced hypotension.,"To evaluate the effect of prostaglandin E1 (PGE1) or trimethaphan (TMP) induced hypotension on epidural blood flow (EBF) during spinal surgery, EBF was measured using the heat clearance method in 30 patients who underwent postero-lateral interbody fusion under isoflurane anaesthesia. An initial dose of 0.1 microgram.kg-1.min-1 of PGE1 (15 patients), or 10 micrograms.kg-1.min-1 of TMP (15 patients) was administered intravenously after the dural opening and the dose was adjusted to maintain the mean arterial blood pressure (MAP) at about 60 mmHg. The hypotensive drug was discontinued at the completion of the operative procedure. After starting PGE1 or TMP, MAP and rate pressure product (RPP) decreased significantly compared with preinfusion values (P < 0.01), and the degree of hypotension due to PGE1 remained constant until 60 min after its discontinuation. Heart rate (HR) did not change in either group. EBFF did not change during PGE1 infusion whereas in the TMP group, EBF decreased significantly at 30 and 60 min after the start of TMP (preinfusion: 45.9 +/- 13.9 ml/100g/min. 30 min: 32.3 +/- 9.9 ml/100 g/min (P < 0.05). 60 min: 30 +/- 7.5 ml/100 g/min (P < 0.05)). These results suggest that PGE1 may be preferable to TMP for hypotensive anaesthesia in spinal surgery because TMP decreased EBF.",cardiovascular|neurological,"Epidural blood flow during prostaglandin E1 or trimethaphan induced hypotension. To evaluate the effect of prostaglandin E1 (PGE1) or trimethaphan (TMP) induced hypotension on epidural blood flow (EBF) during spinal surgery, EBF was measured using the heat clearance method in 30 patients who underwent postero-lateral interbody fusion under isoflurane anaesthesia. An initial dose of 0.1 microgram.kg-1.min-1 of PGE1 (15 patients), or 10 micrograms.kg-1.min-1 of TMP (15 patients) was administered intravenously after the dural opening and the dose was adjusted to maintain the mean arterial blood pressure (MAP) at about 60 mmHg. The hypotensive drug was discontinued at the completion of the operative procedure. After starting PGE1 or TMP, MAP and rate pressure product (RPP) decreased significantly compared with preinfusion values (P < 0.01), and the degree of hypotension due to PGE1 remained constant until 60 min after its discontinuation. Heart rate (HR) did not change in either group. EBFF did not change during PGE1 infusion whereas in the TMP group, EBF decreased significantly at 30 and 60 min after the start of TMP (preinfusion: 45.9 +/- 13.9 ml/100g/min. 30 min: 32.3 +/- 9.9 ml/100 g/min (P < 0.05). 60 min: 30 +/- 7.5 ml/100 g/min (P < 0.05)). These results suggest that PGE1 may be preferable to TMP for hypotensive anaesthesia in spinal surgery because TMP decreased EBF.","epidural blood flow during prostaglandin e1 or trimethaphan induced hypotension. to evaluate the effect of prostaglandin e1 (pge1) or trimethaphan (tmp) induced hypotension on epidural blood flow (ebf) during spinal surgery, ebf was measured using the heat clearance method in 30 patients who underwent postero-lateral interbody fusion under isoflurane anaesthesia. an initial dose of 0.1 microgram.kg-1.min-1 of pge1 (15 patients), or 10 micrograms.kg-1.min-1 of tmp (15 patients) was administered intravenously after the dural opening and the dose was adjusted to maintain the mean arterial blood pressure (map) at about 60 mmhg. the hypotensive drug was discontinued at the completion of the operative procedure. after starting pge1 or tmp, map and rate pressure product (rpp) decreased significantly compared with preinfusion values (p < 0.01), and the degree of hypotension due to pge1 remained constant until 60 min after its discontinuation. heart rate (hr) did not change in either group. ebff did not change during pge1 infusion whereas in the tmp group, ebf decreased significantly at 30 and 60 min after the start of tmp (preinfusion: 45.9 +/- 13.9 ml/100g/min. 30 min: 32.3 +/- 9.9 ml/100 g/min (p < 0.05). 60 min: 30 +/- 7.5 ml/100 g/min (p < 0.05)). these results suggest that pge1 may be preferable to tmp for hypotensive anaesthesia in spinal surgery because tmp decreased ebf.",1,0,1,0
Associations of Ozone and PM2.5 Concentrations With Parkinson's Disease Among Participants in the Agricultural Health Study.,"OBJECTIVE: This study describes associations of ozone and fine particulate matter with Parkinson's disease observed among farmers in North Carolina and Iowa. METHODS: We used logistic regression to determine the associations of these pollutants with self-reported, doctor-diagnosed Parkinson's disease. Daily predicted pollutant concentrations were used to derive surrogates of long-term exposure and link them to study participants' geocoded addresses. RESULTS: We observed positive associations of Parkinson's disease with ozone (odds ratio = 1.39; 95% CI: 0.98 to 1.98) and fine particulate matter (odds ratio = 1.34; 95% CI: 0.93 to 1.93) in North Carolina but not in Iowa. CONCLUSIONS: The plausibility of an effect of ambient concentrations of these pollutants on Parkinson's disease risk is supported by experimental data demonstrating damage to dopaminergic neurons at relevant concentrations. Additional studies are needed to address uncertainties related to confounding and to examine temporal aspects of the associations we observed.",neurological,"Associations of Ozone and PM2.5 Concentrations With Parkinson's Disease Among Participants in the Agricultural Health Study. OBJECTIVE: This study describes associations of ozone and fine particulate matter with Parkinson's disease observed among farmers in North Carolina and Iowa. METHODS: We used logistic regression to determine the associations of these pollutants with self-reported, doctor-diagnosed Parkinson's disease. Daily predicted pollutant concentrations were used to derive surrogates of long-term exposure and link them to study participants' geocoded addresses. RESULTS: We observed positive associations of Parkinson's disease with ozone (odds ratio = 1.39; 95% CI: 0.98 to 1.98) and fine particulate matter (odds ratio = 1.34; 95% CI: 0.93 to 1.93) in North Carolina but not in Iowa. CONCLUSIONS: The plausibility of an effect of ambient concentrations of these pollutants on Parkinson's disease risk is supported by experimental data demonstrating damage to dopaminergic neurons at relevant concentrations. Additional studies are needed to address uncertainties related to confounding and to examine temporal aspects of the associations we observed.","associations of ozone and pm2.5 concentrations with parkinson's disease among participants in the agricultural health study. objective: this study describes associations of ozone and fine particulate matter with parkinson's disease observed among farmers in north carolina and iowa. methods: we used logistic regression to determine the associations of these pollutants with self-reported, doctor-diagnosed parkinson's disease. daily predicted pollutant concentrations were used to derive surrogates of long-term exposure and link them to study participants' geocoded addresses. results: we observed positive associations of parkinson's disease with ozone (odds ratio = 1.39; 95% ci: 0.98 to 1.98) and fine particulate matter (odds ratio = 1.34; 95% ci: 0.93 to 1.93) in north carolina but not in iowa. conclusions: the plausibility of an effect of ambient concentrations of these pollutants on parkinson's disease risk is supported by experimental data demonstrating damage to dopaminergic neurons at relevant concentrations. additional studies are needed to address uncertainties related to confounding and to examine temporal aspects of the associations we observed.",0,0,1,0
Antagonism between interleukin 3 and erythropoietin in mice with azidothymidine-induced anemia and in bone marrow endothelial cells.,"Azidothymidine (AZT)-induced anemia in mice can be reversed by the administration of IGF-IL-3 (fusion protein of insulin-like growth factor II (IGF II) and interleukin 3). Although interleukin 3 (IL-3) and erythropoietin (EPO) are known to act synergistically on hematopoietic cell proliferation in vitro, injection of IGF-IL-3 and EPO in AZT-treated mice resulted in a reduction of red cells and an increase of plasma EPO levels as compared to animals treated with IGF-IL-3 or EPO alone. We tested the hypothesis that the antagonistic effect of IL-3 and EPO on erythroid cells may be mediated by endothelial cells. Bovine liver erythroid cells were cultured on monolayers of human bone marrow endothelial cells previously treated with EPO and IGF-IL-3. There was a significant reduction of thymidine incorporation into both erythroid and endothelial cells in cultures pre-treated with IGF-IL-3 and EPO. Endothelial cell culture supernatants separated by ultrafiltration and ultracentrifugation from cells treated with EPO and IL-3 significantly reduced thymidine incorporation into erythroid cells as compared to identical fractions obtained from the media of cells cultured with EPO alone. These results suggest that endothelial cells treated simultaneously with EPO and IL-3 have a negative effect on erythroid cell production.",hepatorenal,"Antagonism between interleukin 3 and erythropoietin in mice with azidothymidine-induced anemia and in bone marrow endothelial cells. Azidothymidine (AZT)-induced anemia in mice can be reversed by the administration of IGF-IL-3 (fusion protein of insulin-like growth factor II (IGF II) and interleukin 3). Although interleukin 3 (IL-3) and erythropoietin (EPO) are known to act synergistically on hematopoietic cell proliferation in vitro, injection of IGF-IL-3 and EPO in AZT-treated mice resulted in a reduction of red cells and an increase of plasma EPO levels as compared to animals treated with IGF-IL-3 or EPO alone. We tested the hypothesis that the antagonistic effect of IL-3 and EPO on erythroid cells may be mediated by endothelial cells. Bovine liver erythroid cells were cultured on monolayers of human bone marrow endothelial cells previously treated with EPO and IGF-IL-3. There was a significant reduction of thymidine incorporation into both erythroid and endothelial cells in cultures pre-treated with IGF-IL-3 and EPO. Endothelial cell culture supernatants separated by ultrafiltration and ultracentrifugation from cells treated with EPO and IL-3 significantly reduced thymidine incorporation into erythroid cells as compared to identical fractions obtained from the media of cells cultured with EPO alone. These results suggest that endothelial cells treated simultaneously with EPO and IL-3 have a negative effect on erythroid cell production.","antagonism between interleukin 3 and erythropoietin in mice with azidothymidine-induced anemia and in bone marrow endothelial cells. azidothymidine (azt)-induced anemia in mice can be reversed by the administration of igf-il-3 (fusion protein of insulin-like growth factor ii (igf ii) and interleukin 3). although interleukin 3 (il-3) and erythropoietin (epo) are known to act synergistically on hematopoietic cell proliferation in vitro, injection of igf-il-3 and epo in azt-treated mice resulted in a reduction of red cells and an increase of plasma epo levels as compared to animals treated with igf-il-3 or epo alone. we tested the hypothesis that the antagonistic effect of il-3 and epo on erythroid cells may be mediated by endothelial cells. bovine liver erythroid cells were cultured on monolayers of human bone marrow endothelial cells previously treated with epo and igf-il-3. there was a significant reduction of thymidine incorporation into both erythroid and endothelial cells in cultures pre-treated with igf-il-3 and epo. endothelial cell culture supernatants separated by ultrafiltration and ultracentrifugation from cells treated with epo and il-3 significantly reduced thymidine incorporation into erythroid cells as compared to identical fractions obtained from the media of cells cultured with epo alone. these results suggest that endothelial cells treated simultaneously with epo and il-3 have a negative effect on erythroid cell production.",0,1,0,0
Organ orchestra: stroke,Aim: To investigate metformin effects on diabetes through gallbladder analysis. Methods: 240 diabetic patients underwent randomized controlled evaluation with hepatocellular carcinoma and polycystic kidney disease assessment. Results: favorable safety profile. Conclusion: treatment optimization.,hepatorenal,Organ orchestra: stroke Aim: To investigate metformin effects on diabetes through gallbladder analysis. Methods: 240 diabetic patients underwent randomized controlled evaluation with hepatocellular carcinoma and polycystic kidney disease assessment. Results: favorable safety profile. Conclusion: treatment optimization.,organ orchestra: stroke aim: to investigate metformin effects on diabetes through gallbladder analysis. methods: 240 diabetic patients underwent randomized controlled evaluation with hepatocellular carcinoma and polycystic kidney disease assessment. results: favorable safety profile. conclusion: treatment optimization.,0,1,0,0
Genotype-phenotype analysis in X-linked Emery-Dreifuss muscular dystrophy and identification of a missense mutation associated with a milder phenotype.,"Direct sequencing of the emerin gene in 22 families with Emery-Dreifuss muscular dystrophy ( EMD ) revealed mutations in 21 ( 95 % ) , confirming that emerin mutations can be identified in the majority of families with X-linked EMD . Most emerin mutations result in absence of the protein . In this study three mutations ( a missense mutation Pro183Thr and two in-frame deletions removing residues 95-99 and 236-241 , respectively ) were unusual in being associated with expression of mutant protein . The phenotype in these families was compared in detail with the clinical features in cases with typical null mutations . For the in-frame deletions there were no significant differences . In the family with the missense mutation the phenotype was milder . Age at onset was later for first symptoms and for development of ankle contractures and muscle weakness . These findings have diagnostic implications as well as pointing to functionally important regions of the emerin protein . .",neurological,"Genotype-phenotype analysis in X-linked Emery-Dreifuss muscular dystrophy and identification of a missense mutation associated with a milder phenotype. Direct sequencing of the emerin gene in 22 families with Emery-Dreifuss muscular dystrophy ( EMD ) revealed mutations in 21 ( 95 % ) , confirming that emerin mutations can be identified in the majority of families with X-linked EMD . Most emerin mutations result in absence of the protein . In this study three mutations ( a missense mutation Pro183Thr and two in-frame deletions removing residues 95-99 and 236-241 , respectively ) were unusual in being associated with expression of mutant protein . The phenotype in these families was compared in detail with the clinical features in cases with typical null mutations . For the in-frame deletions there were no significant differences . In the family with the missense mutation the phenotype was milder . Age at onset was later for first symptoms and for development of ankle contractures and muscle weakness . These findings have diagnostic implications as well as pointing to functionally important regions of the emerin protein . .","genotype-phenotype analysis in x-linked emery-dreifuss muscular dystrophy and identification of a missense mutation associated with a milder phenotype. direct sequencing of the emerin gene in 22 families with emery-dreifuss muscular dystrophy ( emd ) revealed mutations in 21 ( 95 % ) , confirming that emerin mutations can be identified in the majority of families with x-linked emd . most emerin mutations result in absence of the protein . in this study three mutations ( a missense mutation pro183thr and two in-frame deletions removing residues 95-99 and 236-241 , respectively ) were unusual in being associated with expression of mutant protein . the phenotype in these families was compared in detail with the clinical features in cases with typical null mutations . for the in-frame deletions there were no significant differences . in the family with the missense mutation the phenotype was milder . age at onset was later for first symptoms and for development of ankle contractures and muscle weakness . these findings have diagnostic implications as well as pointing to functionally important regions of the emerin protein . .",0,0,1,0
